Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
1.43983,0.242463,0.176122,-9.5035,0.000132237,0.000505786,-0.00150172,-9.45272e-06,-4.80025e-07,3.52449e-06,0.0222617,-0.999627,-0.00836161,0.0134163,179.008,358.484,182.565,0,0,0,0,
1.47971,0.264068,0.171547,-9.5176,0.00113706,0.00150868,0.00112592,-1.69422e-05,-1.58999e-06,7.26235e-06,0.0232469,-0.999604,-0.00834475,0.0134578,179.008,358.48,182.678,0,0,0,0,
1.52251,0.254466,0.16926,-9.52935,-0.000489863,0.000415055,-0.000450231,-2.29439e-05,-1.87641e-06,9.48191e-06,0.0244661,-0.999575,-0.00831419,0.0134807,179.009,358.479,182.817,0,0,0,0,
1.56208,0.235261,0.153249,-9.5223,0.00105252,0.000880335,-0.000962179,-2.45547e-05,-1.6089e-06,9.96773e-06,0.0248951,-0.999565,-0.0082873,0.0134782,179.012,358.48,182.867,0,0,0,0,
1.60421,0.254466,0.176122,-9.5035,-0.000505777,-0.000202246,0.00111833,-2.68763e-05,-2.33957e-06,9.82646e-06,0.0258385,-0.999541,-0.00831639,0.0134808,179.007,358.48,182.975,0,0,0,0,
1.64132,0.247264,0.164685,-9.51055,-0.00102601,0.000826182,0.00107665,-2.67723e-05,-2.73334e-06,1.02915e-05,0.0268881,-0.999513,-0.00830746,0.013483,179.007,358.481,183.095,0,0,0,0,
1.67109,0.252065,0.166973,-9.47061,-0.000953618,0.000261107,0.00102511,-2.65228e-05,-2.40489e-06,1.03791e-05,0.0278835,-0.999486,-0.00827682,0.0135156,179.008,358.478,183.209,0,0,0,0,
1.69786,0.256866,0.162398,-9.48706,0.000612119,0.00126223,-0.000544026,-2.64344e-05,-2.54438e-06,1.04098e-05,0.0285482,-0.999467,-0.0082443,0.0135316,179.011,358.477,183.285,0,0,0,0,
1.7293,0.242463,0.189846,-9.51995,-0.000469655,0.000690812,0.000471279,-2.6893e-05,-3.03438e-06,1.04215e-05,0.0298474,-0.999429,-0.00826412,0.0135067,179.007,358.481,183.434,0,0,0,0,
1.75664,0.228059,0.171547,-9.5035,-0.00047232,0.00115219,-0.00058974,-2.69337e-05,-2.69145e-06,1.01861e-05,0.0305675,-0.999407,-0.00828159,0.0134885,179.004,358.484,183.517,0,0,0,0,
1.78517,0.26887,0.16926,-9.5082,0.000588749,4.62346e-05,0.000983696,-2.6948e-05,-1.94489e-06,1.00401e-05,0.0307749,-0.9994,-0.00829001,0.0135246,179.003,358.48,183.541,0,0,0,0,
1.81597,0.240062,0.1441,-9.46591,0.000522181,0.00106904,0.000456359,-2.62492e-05,-1.99072e-06,1.05936e-05,0.030989,-0.999394,-0.0082358,0.0135213,179.008,358.481,183.565,0,0,0,0,
1.84401,0.249665,0.162398,-9.48001,0.00102912,-7.92556e-06,-0.00111073,-2.65276e-05,-2.28704e-06,1.02938e-05,0.0312976,-0.999385,-0.0082429,0.0135198,179.007,358.481,183.601,0,0,0,0,
1.87685,0.249665,0.19442,-9.53405,0.000461638,-3.23914e-05,0.000476371,-2.64912e-05,-2.79368e-06,1.11148e-05,0.0321229,-0.999358,-0.00827654,0.013541,179.002,358.48,183.695,0,0,0,0,
1.90453,0.259267,0.160111,-9.48941,-0.000598924,0.00100773,-2.80626e-05,-2.66837e-05,-3.06262e-06,1.08724e-05,0.0329611,-0.999331,-0.00825812,0.0135385,179.003,358.481,183.791,0,0,0,0,
1.93533,0.244863,0.173834,-9.48471,-8.68198e-05,-6.44177e-05,-0.000533164,-2.71796e-05,-2.58438e-06,1.13313e-05,0.0337841,-0.999303,-0.00825235,0.0135368,179.002,358.482,183.886,0,0,0,0,
1.9653,0.26887,0.162398,-9.49176,0.000980923,0.000457941,-0.000532806,-2.73925e-05,-2.9364e-06,1.07578e-05,0.0343954,-0.999283,-0.00822827,0.0135567,179.004,358.48,183.956,0,0,0,0,
1.99597,0.252065,0.148674,-9.48941,0.000936434,-0.00107028,0.000531156,-2.69378e-05,-2.60531e-06,1.05269e-05,0.035179,-0.999255,-0.00818323,0.0135774,179.008,358.478,184.046,0,0,0,0,
2.02219,0.228059,0.171547,-9.527,0.000916874,6.74464e-06,1.16006e-05,-2.66988e-05,-2.41096e-06,1.02594e-05,0.0354778,-0.999246,-0.00818149,0.01352,179.008,358.485,184.08,0,0,0,0,
2.05165,0.244863,0.171547,-9.527,0.00086439,0.000512743,-1.73226e-06,-2.68505e-05,-2.60504e-06,1.03515e-05,0.0359977,-0.999227,-0.0081728,0.0135084,179.008,358.487,184.14,0,0,0,0,
2.07777,0.252065,0.171547,-9.48706,-0.000202835,-0.00055025,0.00153119,-2.71575e-05,-2.67865e-06,1.11226e-05,0.0363722,-0.999214,-0.00817011,0.0135067,179.008,358.487,184.182,0,0,0,0,
2.10403,0.256866,0.164685,-9.48236,0.000832891,0.000502016,-0.00111314,-2.68465e-05,-2.98312e-06,1.08833e-05,0.0369493,-0.999193,-0.00816105,0.0135045,179.008,358.488,184.249,0,0,0,0,
2.1305,0.252065,0.157823,-9.47061,0.000818262,0.000984892,0.000991993,-2.69065e-05,-3.182e-06,1.09717e-05,0.0376532,-0.999166,-0.00816543,0.0135116,179.006,358.488,184.329,0,0,0,0,
2.15992,0.249665,0.162398,-9.5035,0.000772737,-0.000580814,0.000934206,-2.69512e-05,-2.81183e-06,1.07948e-05,0.0383087,-0.999142,-0.00814411,0.0134887,179.008,358.491,184.405,0,0,0,0,
2.18605,0.242463,0.139525,-9.51995,-0.00231723,0.000460394,-0.000173882,-2.72287e-05,-2.29135e-06,1.04215e-05,0.0384256,-0.999137,-0.00812727,0.0134886,179.01,358.491,184.418,0,0,0,0,
