Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.20507,0.398503,0.0434586,-9.53875,0.00107166,-0.000541555,-0.000867493,-4.16428e-05,3.36374e-05,1.30902e-05,0.333314,0.942584,0.00915035,-0.0188098,179.73,357.618,141.057,0,0,0,0,
2.2313,0.417708,0.0503205,-9.51055,0.000488834,0.00101708,-0.000863727,-4.23969e-05,3.3035e-05,1.33487e-05,0.3332,0.942623,0.00914674,-0.0188518,179.732,357.614,141.07,0,0,0,0,
2.2575,0.410506,0.0365967,-9.5223,-0.000573022,-0.000551682,-0.00135441,-4.26146e-05,3.2917e-05,1.32749e-05,0.332942,0.942715,0.00912561,-0.0188557,179.733,357.614,141.102,0,0,0,0,
2.2895,0.393702,0.0297348,-9.50585,0.00049348,-3.04021e-05,-0.00034358,-4.24462e-05,3.28226e-05,1.32188e-05,0.332577,0.942844,0.00908645,-0.0188402,179.736,357.617,141.146,0,0,0,0,
2.31557,0.400904,0.0411713,-9.49176,-0.00106286,0.000465311,0.00124316,-4.21143e-05,3.27947e-05,1.34509e-05,0.332399,0.942907,0.00908057,-0.0188589,179.737,357.616,141.168,0,0,0,0,
2.3418,0.408106,0.0503205,-9.48471,0.000545615,-0.000570398,0.000157904,-4.24384e-05,3.27614e-05,1.30929e-05,0.332182,0.942983,0.00907273,-0.0188577,179.737,357.616,141.194,0,0,0,0,
2.37211,0.3865,0.0297348,-9.49881,6.22999e-05,1.95391e-06,0.000158973,-4.23597e-05,3.26486e-05,1.30369e-05,0.331798,0.943119,0.00906136,-0.018847,179.737,357.618,141.241,0,0,0,0,
2.39843,0.388901,0.0274475,-9.5082,0.000578625,0.000533665,-0.000380401,-4.20623e-05,3.29431e-05,1.2842e-05,0.331679,0.94316,0.00904326,-0.0188599,179.739,357.617,141.255,0,0,0,0,
2.42389,0.391301,0.038884,-9.51525,-0.000474993,-3.60608e-05,0.000169512,-4.23993e-05,3.31199e-05,1.27056e-05,0.331574,0.943197,0.00904174,-0.0188885,179.74,357.614,141.268,0,0,0,0,
2.4503,0.3865,0.0663316,-9.5082,5.44004e-05,0.00152353,-0.000345338,-4.20818e-05,3.35083e-05,1.26323e-05,0.331602,0.943187,0.00905071,-0.0188794,179.739,357.615,141.265,0,0,0,0,
2.48046,0.396102,0.0411713,-9.50115,-0.000988021,-0.000636412,0.000173897,-4.28881e-05,3.31094e-05,1.2874e-05,0.33141,0.943254,0.00906002,-0.0188879,179.738,357.614,141.288,0,0,0,0,
2.50663,0.400904,0.0503205,-9.49176,7.25761e-05,-0.00012436,0.00122922,-4.26712e-05,3.2707e-05,1.29746e-05,0.331162,0.943341,0.00906389,-0.0189111,179.738,357.611,141.318,0,0,0,0,
2.53229,0.396102,0.0411713,-9.47766,8.16341e-05,0.000920143,-0.00141324,-4.25404e-05,3.27074e-05,1.22992e-05,0.33092,0.943425,0.00906204,-0.0189368,179.738,357.608,141.347,0,0,0,0,
2.55838,0.400904,0.0365967,-9.49411,-0.000948321,-0.000162249,-0.000319887,-4.24475e-05,3.27114e-05,1.23617e-05,0.330706,0.9435,0.00907097,-0.0189511,179.737,357.607,141.373,0,0,0,0,
2.5889,0.391301,0.0503205,-9.5223,-0.00091804,0.000899995,-0.000260681,-4.2782e-05,3.29737e-05,1.30793e-05,0.330436,0.943595,0.00905111,-0.0189464,179.739,357.608,141.406,0,0,0,0,
2.61477,0.398503,0.0548951,-9.49881,0.000671031,-0.000131385,-0.000235755,-4.28506e-05,3.31432e-05,1.33523e-05,0.330285,0.943648,0.00906872,-0.0189316,179.736,357.609,141.425,0,0,0,0,
2.64046,0.398503,0.0457459,-9.51525,-0.000386987,0.000381649,0.000776511,-4.23837e-05,3.27345e-05,1.32865e-05,0.330153,0.943694,0.00907738,-0.0189431,179.735,357.607,141.441,0,0,0,0,
2.67026,0.381699,0.0434586,-9.48471,0.00119849,-0.000683861,-0.000267114,-4.26898e-05,3.30734e-05,1.25493e-05,0.329952,0.943765,0.00905932,-0.0189241,179.736,357.61,141.465,0,0,0,0,
2.69626,0.3865,0.0434586,-9.51055,-0.000378901,0.000387279,-0.000254396,-4.25431e-05,3.29456e-05,1.25218e-05,0.329828,0.943808,0.00905595,-0.0189114,179.735,357.612,141.48,0,0,0,0,
2.72253,0.400904,0.0457459,-9.51995,0.000652695,-0.000137936,-0.00128086,-4.24375e-05,3.33909e-05,1.25089e-05,0.329817,0.943812,0.00904731,-0.0189057,179.736,357.613,141.481,0,0,0,0,
2.74911,0.391301,0.0343094,-9.51525,-0.000416964,-0.000118855,0.000312969,-4.2377e-05,3.31507e-05,1.27433e-05,0.329805,0.943817,0.0090345,-0.0188934,179.737,357.614,141.483,0,0,0,0,
2.77865,0.398503,0.038884,-9.5082,0.000107326,-0.000110168,0.000810478,-4.19782e-05,3.26846e-05,1.26773e-05,0.329762,0.943832,0.00902304,-0.0188983,179.738,357.614,141.488,0,0,0,0,
2.80491,0.391301,0.0411713,-9.51525,-0.000923853,-0.000104923,0.00030265,-4.23408e-05,3.29563e-05,1.28476e-05,0.329693,0.943856,0.00901881,-0.0189024,179.738,357.614,141.496,0,0,0,0,
2.83104,0.42491,0.0411713,-9.48941,-0.000360575,-0.000631729,0.000263214,-4.23268e-05,3.23455e-05,1.29553e-05,0.329517,0.943917,0.00902983,-0.0189315,179.738,357.611,141.518,0,0,0,0,
2.85737,0.412907,0.0548951,-9.5176,0.000695176,0.000943707,0.000263195,-4.2053e-05,3.22221e-05,1.27851e-05,0.329323,0.943984,0.00904169,-0.0189634,179.737,357.607,141.541,0,0,0,0,
2.89008,0.420109,0.0343094,-9.50585,-0.000355523,-0.000149252,-0.000793658,-4.21524e-05,3.24693e-05,1.33034e-05,0.3291,0.944061,0.00904434,-0.0189709,179.737,357.606,141.568,0,0,0,0,
2.91628,0.388901,0.022873,-9.47531,0.000687474,-0.000673948,-0.000780895,-4.19251e-05,3.28303e-05,1.326e-05,0.329084,0.944067,0.00901822,-0.0189828,179.74,357.606,141.57,0,0,0,0,
2.94589,0.396102,0.022873,-9.48471,0.000638664,-0.000613879,-0.000738006,-4.22399e-05,3.24846e-05,1.35407e-05,0.328999,0.944097,0.00898191,-0.0189806,179.744,357.607,141.58,0,0,0,0,
2.97288,0.3865,0.0434586,-9.49881,8.89655e-05,-0.000597164,0.000335716,-4.27731e-05,3.25608e-05,1.36393e-05,0.32879,0.94417,0.00897032,-0.0189819,179.744,357.608,141.606,0,0,0,0,
2.99909,0.393702,0.0297348,-9.5223,0.00060402,0.000976628,-0.000731364,-4.28542e-05,3.28752e-05,1.32159e-05,0.328622,0.944228,0.00896025,-0.0189996,179.746,357.606,141.626,0,0,0,0,
3.02859,0.400904,0.022873,-9.49176,6.71353e-05,0.00093244,-0.000692271,-4.29245e-05,3.3148e-05,1.28485e-05,0.328451,0.944287,0.00893584,-0.0190243,179.749,357.604,141.647,0,0,0,0,
3.05737,0.396102,0.0457459,-9.49646,6.39372e-05,-0.000644799,-0.000140019,-4.29464e-05,3.32529e-05,1.29572e-05,0.328378,0.944313,0.008912,-0.0190298,179.751,357.605,141.656,0,0,0,0,
3.08443,0.396102,0.0457459,-9.49646,9.84315e-05,-0.00013235,0.000892717,-4.27061e-05,3.33221e-05,1.25377e-05,0.328372,0.944315,0.00891861,-0.0190034,179.75,357.607,141.656,0,0,0,0,
3.11392,0.403304,0.0365967,-9.48941,0.000623593,-0.000654815,-0.000641461,-4.27586e-05,3.32845e-05,1.24146e-05,0.328347,0.944324,0.00891284,-0.0189993,179.75,357.608,141.66,0,0,0,0,
3.14161,0.398503,0.0571824,-9.5035,0.00112571,0.000946747,-6.66045e-05,-4.31098e-05,3.30708e-05,1.26712e-05,0.328225,0.944366,0.00891585,-0.018994,179.749,357.608,141.674,0,0,0,0,
3.16938,0.400904,0.0251603,-9.49646,0.00109714,0.000394892,-6.34342e-05,-4.30729e-05,3.34615e-05,1.21039e-05,0.328168,0.944386,0.00888992,-0.0190118,179.753,357.608,141.681,0,0,0,0,
3.2024,0.369696,0.0205857,-9.48236,4.28017e-05,0.000873504,-0.000578251,-4.19679e-05,3.27626e-05,1.29673e-05,0.328173,0.944384,0.00884823,-0.0190335,179.758,357.607,141.68,0,0,0,0,
3.22836,0.410506,0.0480332,-9.49646,4.0764e-05,0.000312624,-4.39435e-05,-4.20777e-05,3.24869e-05,1.32817e-05,0.328132,0.944398,0.00886434,-0.0190562,179.757,357.604,141.685,0,0,0,0,
