Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.41324,0.220857,0.171547,-9.5035,-0.000553545,0.000381207,0.00105163,-2.32136e-05,-7.68178e-06,2.10828e-05,0.16732,-0.985797,-0.00689528,0.0127058,178.977,358.697,199.278,-2.60525e-05,0.000237923,-2.60525e-05,-6.19848e-09,
2.44488,0.211255,0.153249,-9.49411,-0.000514675,0.000375569,0.000494789,-2.3255e-05,-8.24578e-06,2.04784e-05,0.167174,-0.985822,-0.00687887,0.0126932,178.979,358.698,199.261,0,0,0,0,
2.47745,0.204053,0.215006,-9.527,0.00409455,0.00295773,0.00106585,-2.26612e-05,-8.81057e-06,2.05498e-05,0.167717,-0.98573,-0.00687879,0.0126652,178.979,358.701,199.324,0,0,0,0,
2.51019,0.223258,0.160111,-9.3226,0.000974068,-0.00239352,0.00147269,-2.26074e-05,-8.29928e-06,2.03403e-05,0.168049,-0.985674,-0.00688034,0.0126354,178.979,358.705,199.362,-5.2105e-05,0.000475845,-5.2105e-05,-3.71909e-08,
2.53816,0.182447,0.176122,-9.59278,0.00189119,0.00342012,0.000414051,-2.31155e-05,-8.3796e-06,2.04946e-05,0.168104,-0.985664,-0.00685468,0.0126614,178.982,358.702,199.369,0,0,0,0,
2.56944,0.228059,0.187558,-9.40013,0.00600976,2.61161e-05,0.002462,-2.35769e-05,-8.81157e-06,1.99545e-05,0.168344,-0.985624,-0.0068308,0.0126375,178.984,358.704,199.397,-2.60525e-05,0.000237923,-2.60525e-05,-2.47939e-08,
2.59877,0.196851,0.198995,-9.58339,-0.00148388,0.00208952,0.00340838,-2.34711e-05,-8.43991e-06,2.00084e-05,0.16833,-0.985626,-0.00685459,0.0126623,178.981,358.702,199.395,-2.60525e-05,0.000237923,-2.60525e-05,-3.09924e-08,
2.63047,0.237661,0.157823,-9.43302,0.00171245,-0.00219943,-0.000936393,-2.33715e-05,-7.76023e-06,2.00584e-05,0.167822,-0.985712,-0.00680154,0.0127398,178.986,358.692,199.336,-2.60525e-05,0.000237923,-2.60525e-05,-3.71909e-08,
2.6578,0.218457,0.162398,-9.48001,-0.00209171,-0.000461759,0.0011353,-2.35987e-05,-7.77107e-06,2.03165e-05,0.16728,-0.985804,-0.00680365,0.0127035,178.988,358.695,199.273,0,0,0,0,
2.68881,0.225658,0.180696,-9.44712,-0.00164825,-0.000590036,0.00257583,-2.33125e-05,-8.13153e-06,1.98776e-05,0.166822,-0.985882,-0.00680139,0.0127106,178.988,358.694,199.22,-2.60525e-05,0.000237923,-2.60525e-05,-4.33894e-08,
