Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.21221,0.441714,0.022873,-9.49646,-0.000534056,4.92334E-05,-0.00167859,-4.11013E-05,3.28161E-05,1.31397E-05,0.33037,0.943565,0.0096472,-0.0211477,179.757,357.347,141.412,0,0,0,0
2.23834,0.42491,0.0320221,-9.51995,-1.43647E-05,0.000553666,-0.000585113,-4.15113E-05,3.30482E-05,1.33968E-05,0.330502,0.94352,0.0096281,-0.0211363,179.759,357.349,141.396,0,0,0,0
2.26456,0.422509,0.022873,-9.5223,-1.36811E-05,0.00154086,-0.000582282,-4.15148E-05,3.32007E-05,1.33197E-05,0.330657,0.943465,0.00960114,-0.0211335,179.762,357.35,141.377,0,0,0,0
2.29071,0.420109,0.0571824,-9.5129,-0.0015709,0.000973232,-0.000554558,-4.15241E-05,3.27732E-05,1.35131E-05,0.330724,0.943443,0.00961087,-0.0211086,179.761,357.353,141.369,0,0,0,0
2.31936,0.420109,0.0411713,-9.50585,-0.00049565,0.00193063,-0.000997484,-4.15385E-05,3.23997E-05,1.33455E-05,0.330647,0.94347,0.00958264,-0.0210923,179.763,357.356,141.379,0,0,0,0
2.34699,0.420109,0.038884,-9.5035,-0.00100386,0.000318373,0.000101104,-4.25983E-05,3.22351E-05,1.32588E-05,0.330362,0.94357,0.00958059,-0.0210845,179.762,357.357,141.413,0,0,0,0
2.3747,0.417708,0.0320221,-9.48941,-0.000956059,0.00188611,0.000615582,-4.22105E-05,3.26804E-05,1.32315E-05,0.330195,0.943629,0.00956942,-0.0210634,179.762,357.359,141.433,0,0,0,0
2.40414,0.439314,0.0503205,-9.5129,-0.000938047,0.00128349,-0.000936579,-4.22464E-05,3.25129E-05,1.30355E-05,0.329914,0.943728,0.00956672,-0.0210453,179.761,357.361,141.468,0,0,0,0
2.43132,0.422509,0.0297348,-9.49176,0.000107659,0.00118484,-0.000929527,-4.20003E-05,3.25909E-05,1.25914E-05,0.329804,0.943767,0.00954783,-0.021046,179.763,357.362,141.481,0,0,0,0
2.4579,0.439314,0.0434586,-9.51995,-0.00145534,0.00166023,-0.00089778,-4.18323E-05,3.29062E-05,1.25569E-05,0.329809,0.943765,0.00955585,-0.0210385,179.761,357.363,141.48,0,0,0,0
2.49811,0.432112,0.0297348,-9.5129,-0.000845872,0.00156781,-0.000896398,-4.20439E-05,3.31718E-05,0.000012519,0.329887,0.943737,0.00953413,-0.0210619,179.765,357.361,141.471,0,0,0,0
2.54736,0.429711,0.0503205,-9.52465,0.00129098,0.000480261,0.00171295,-4.18092E-05,0.000032956,0.000012169,0.329983,0.943704,0.00955156,-0.0210608,179.763,357.36,141.459,0,0,0,0
