Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.2048,0.247264,0.173834,-9.51055,0.000410218,-0.000250373,0.000523977,-2.40596e-05,-8.83781e-06,2.10989e-05,0.171839,-0.98498,-0.00771218,0.0150253,178.833,358.456,199.808,0,0,0,0,
2.23511,0.261668,0.201282,-9.50115,0.000418209,0.000793662,0.000499215,-2.36998e-05,-9.45483e-06,2.09387e-05,0.172481,-0.984868,-0.00771432,0.0150422,178.832,358.455,199.883,0,0,0,0,
2.26114,0.259267,0.203569,-9.50585,-0.000627771,0.00127517,-3.13297e-05,-2.38055e-05,-9.11544e-06,2.13723e-05,0.172731,-0.984823,-0.00773838,0.0150671,178.828,358.453,199.912,0,0,0,0,
2.28797,0.247264,0.196707,-9.49881,-5.35641e-05,-0.00034342,0.000476941,-2.36292e-05,-9.16146e-06,2.09111e-05,0.172975,-0.984781,-0.00775647,0.0150463,178.826,358.456,199.94,0,0,0,0,
2.33088,0.261668,0.19442,-9.50115,-6.19963e-05,0.000681853,-2.65539e-05,-2.31013e-05,-8.12422e-06,2.01932e-05,0.172723,-0.984825,-0.00774829,0.0150757,178.827,358.452,199.911,0,0,0,0,
2.37675,0.244863,0.187558,-9.48706,-0.00057493,0.000716478,1.25617e-05,-2.32128e-05,-8.77883e-06,2.09444e-05,0.172718,-0.984826,-0.00771473,0.0150753,178.83,358.451,199.91,0,0,0,0,
2.40969,0.249665,0.19442,-9.49411,0.000986572,0.00175365,0.00103804,-2.39698e-05,-8.66417e-06,2.05154e-05,0.172572,-0.984851,-0.00770859,0.015073,178.831,358.451,199.893,0,0,0,0,
2.43889,0.252065,0.201282,-9.50585,-7.21719e-05,0.000665804,0.000507168,-2.43432e-05,-8.24571e-06,2.06343e-05,0.171868,-0.984974,-0.00774761,0.0150598,178.828,358.453,199.812,0,0,0,0,
2.46569,0.256866,0.196707,-9.48236,-0.000575515,0.000646615,-0.00208841,-2.42336e-05,-8.87054e-06,2.09254e-05,0.171709,-0.985002,-0.00776313,0.0150437,178.827,358.455,199.793,0,0,0,0,
2.49167,0.252065,0.19442,-9.49881,-0.000548113,0.00061583,-0.000443615,-2.41517e-05,-8.74335e-06,2.11164e-05,0.171607,-0.98502,-0.00777415,0.0150552,178.826,358.453,199.781,0,0,0,0,
2.52148,0.264068,0.203569,-9.5035,-1.48714e-05,-0.000465903,-0.00041201,-2.47265e-05,-8.79752e-06,2.07335e-05,0.171187,-0.985093,-0.00780224,0.0150572,178.823,358.453,199.732,0,0,0,0,
2.54871,0.264068,0.19442,-9.50585,-0.00102772,-0.000950499,0.000633676,-2.44718e-05,-8.69848e-06,2.07462e-05,0.170966,-0.985131,-0.00782074,0.0150605,178.822,358.453,199.707,0,0,0,0,
2.57755,0.256866,0.180696,-9.5223,0.00106084,0.000120824,9.67272e-05,-2.45665e-05,-8.37742e-06,2.07508e-05,0.170562,-0.985201,-0.00780987,0.0150733,178.823,358.451,199.66,0,0,0,0,
2.6071,0.249665,0.176122,-9.48471,-0.00052244,-0.000370055,7.76872e-05,-2.35642e-05,-8.06996e-06,2.14493e-05,0.169905,-0.985315,-0.0078148,0.0150362,178.824,358.454,199.583,0,0,0,0,
2.63456,0.261668,0.205857,-9.48471,9.21264e-06,0.000166852,4.89615e-05,-2.45233e-05,-8.25232e-06,2.09394e-05,0.169401,-0.985402,-0.00783411,0.0150328,178.823,358.454,199.525,0,0,0,0,
2.664,0.244863,0.203569,-9.51525,0.000528065,-0.00138645,0.00159198,-2.43464e-05,-8.35141e-06,2.06305e-05,0.168977,-0.985474,-0.00785474,0.0150115,178.822,358.457,199.475,0,0,0,0,
2.69628,0.247264,0.187558,-9.5035,-3.45893e-06,-0.000262855,8.46758e-06,-2.34844e-05,-8.42396e-06,2.00431e-05,0.168753,-0.985513,-0.00785657,0.0149881,178.822,358.459,199.449,0,0,0,0,
2.72856,0.244863,0.208144,-9.47061,-1.54264e-05,-0.000244005,-0.000486996,-2.34021e-05,-8.82379e-06,2.00666e-05,0.16899,-0.985473,-0.00787012,0.0149606,178.821,358.463,199.477,0,0,0,0,
2.76687,0.254466,0.189846,-9.46591,-1.46907e-05,-0.00127097,0.000574771,-2.31133e-05,-9.23248e-06,2.0079e-05,0.169544,-0.985378,-0.00785524,0.0149397,178.822,358.466,199.541,0,0,0,0,
2.79992,0.225658,0.185271,-9.49176,-1.30311e-05,0.000838844,5.06118e-05,-2.40899e-05,-9.25509e-06,2.04728e-05,0.170365,-0.985237,-0.00786705,0.0149236,178.82,358.469,199.637,0,0,0,0,
2.82793,0.259267,0.208144,-9.50115,-0.000531701,0.000279613,0.000580009,-2.40585e-05,-8.72778e-06,2.05817e-05,0.170371,-0.985235,-0.00789005,0.0149358,178.817,358.468,199.637,0,0,0,0,
2.86069,0.27127,0.176122,-9.527,-0.00101378,0.000284305,0.000551596,-2.41773e-05,-8.4185e-06,2.08695e-05,0.169984,-0.985302,-0.00787134,0.0149377,178.82,358.467,199.592,0,0,0,0,
2.89376,0.244863,0.196707,-9.50585,3.55355e-05,0.000815086,-0.000488222,-2.46534e-05,-8.73119e-06,2.08192e-05,0.169757,-0.985341,-0.00788674,0.0149313,178.819,358.467,199.566,0,0,0,0,
2.9265,0.273671,0.187558,-9.5082,-0.00098083,-0.000799997,-0.000478197,-2.43438e-05,-8.6293e-06,2.07946e-05,0.169492,-0.985386,-0.00789826,0.0149682,178.817,358.463,199.535,0,0,0,0,
2.95834,0.252065,0.189846,-9.52935,-0.00040454,-0.000274006,0.00111371,-2.41777e-05,-8.92814e-06,2.16089e-05,0.169508,-0.985384,-0.00790269,0.0149527,178.817,358.465,199.537,0,0,0,0,
2.98709,0.235261,0.178409,-9.49881,-0.000385281,0.000233302,9.71854e-05,-2.3857e-05,-8.7762e-06,2.13123e-05,0.169596,-0.985369,-0.00788608,0.0149506,178.818,358.465,199.547,0,0,0,0,
3.01647,0.254466,0.208144,-9.48941,-0.000407545,-0.000327174,-0.0019499,-2.35645e-05,-8.28461e-06,2.13935e-05,0.169378,-0.985406,-0.00788953,0.0149561,178.818,358.464,199.522,0,0,0,0,
3.04545,0.26887,0.201282,-9.47531,0.000625415,-0.00032411,0.000207592,-2.37189e-05,-8.3665e-06,2.16634e-05,0.169154,-0.985444,-0.00790513,0.0149659,178.817,358.463,199.496,0,0,0,0,
3.07484,0.261668,0.160111,-9.5082,0.000618823,0.00224576,0.000217669,-2.38682e-05,-8.70492e-06,2.13839e-05,0.169072,-0.985458,-0.00785839,0.0150047,178.821,358.458,199.486,0,0,0,0,
3.10336,0.247264,0.189846,-9.5082,0.00058936,9.92138e-05,0.000726596,-2.41919e-05,-8.90863e-06,2.11542e-05,0.169156,-0.985444,-0.00782574,0.0149939,178.825,358.458,199.496,0,0,0,0,
3.13416,0.254466,0.198995,-9.48471,-0.000466688,0.000104425,0.000193272,-2.44808e-05,-9.4426e-06,2.09518e-05,0.169607,-0.985366,-0.00782896,0.015,178.824,358.458,199.549,0,0,0,0,
3.16046,0.252065,0.19442,-9.49881,-0.000482006,0.000606231,0.00018407,-2.4304e-05,-8.84593e-06,2.11356e-05,0.169706,-0.98535,-0.00779858,0.0149983,178.827,358.458,199.56,0,0,0,0,
3.18713,0.266469,0.212719,-9.5082,-0.00099086,0.00112168,0.000694595,-2.36683e-05,-8.45416e-06,2.10176e-05,0.169566,-0.985373,-0.00783783,0.015007,178.823,358.458,199.544,0,0,0,0,
3.22175,0.237661,0.185271,-9.52465,-0.000958484,7.84304e-05,-0.000875052,-2.42033e-05,-8.85209e-06,2.0962e-05,0.169548,-0.985378,-0.0078318,0.0149305,178.825,358.466,199.542,0,0,0,0,
3.24849,0.240062,0.182984,-9.50115,0.000594974,-0.000469619,-0.00137771,-2.38687e-05,-8.72567e-06,2.11457e-05,0.169577,-0.985373,-0.00781281,0.0149135,178.827,358.468,199.545,0,0,0,0,
3.27829,0.244863,0.198995,-9.49411,5.87273e-05,9.5319e-05,0.000165664,-2.3575e-05,-7.90654e-06,2.06407e-05,0.169003,-0.985472,-0.00783481,0.0148797,178.827,358.471,199.478,0,0,0,0,
3.30588,0.244863,0.180696,-9.47531,4.34183e-05,0.000115806,-0.000374027,-2.37407e-05,-8.39179e-06,2.06844e-05,0.168755,-0.985515,-0.00783566,0.0148569,178.827,358.474,199.449,0,0,0,0,
3.33285,0.23046,0.196707,-9.5223,0.00054813,0.00061707,-0.000862997,-2.35622e-05,-8.16567e-06,2.12178e-05,0.168489,-0.985561,-0.00784417,0.0148443,178.827,358.475,199.418,0,0,0,0,
3.36252,0.266469,0.187558,-9.48706,2.37487e-06,0.000103688,0.00122561,-2.35189e-05,-8.42572e-06,2.1251e-05,0.168321,-0.985589,-0.00785043,0.0148726,178.826,358.472,199.399,0,0,0,0,
3.39026,0.266469,0.198995,-9.48706,-0.000504516,0.000643067,0.000166215,-2.36943e-05,-8.45867e-06,2.13248e-05,0.16824,-0.985602,-0.00785815,0.0148842,178.825,358.47,199.39,0,0,0,0,
3.42094,0.273671,0.203569,-9.49176,0.000544941,-0.000366716,-0.000884093,-2.42101e-05,-8.49773e-06,2.10455e-05,0.167998,-0.985644,-0.00787552,0.0148902,178.823,358.47,199.361,0,0,0,0,
3.44614,0.235261,0.203569,-9.49881,-2.96161e-07,-0.000361769,-0.000841998,-2.44107e-05,-8.77603e-06,2.09377e-05,0.167943,-0.985653,-0.00788098,0.0148777,178.823,358.471,199.355,0,0,0,0,
3.47498,0.240062,0.212719,-9.49881,1.2232e-05,0.000162231,-0.000307642,-2.42651e-05,-8.68286e-06,2.11242e-05,0.167885,-0.985663,-0.00790017,0.0148806,178.821,358.471,199.348,0,0,0,0,
3.50436,0.23046,0.201282,-9.51995,0.00053036,0.000150783,-0.000335082,-2.42008e-05,-8.16721e-06,2.08928e-05,0.167548,-0.985721,-0.00790662,0.0148374,178.822,358.476,199.309,0,0,0,0,
3.53056,0.242463,0.210431,-9.51055,-1.41822e-05,-0.000388198,0.00122623,-2.44002e-05,-8.56264e-06,2.10873e-05,0.167303,-0.985762,-0.00793237,0.0148284,178.819,358.477,199.281,0,0,0,0,
3.56072,0.247264,0.178409,-9.47531,-1.35079e-05,-0.000382228,-0.000339974,-2.45219e-05,-8.55217e-06,2.12142e-05,0.167143,-0.98579,-0.00791688,0.0148225,178.821,358.477,199.262,0,0,0,0,
3.59187,0.256866,0.192133,-9.48001,0.00203928,-0.000899272,0.00172394,-2.39191e-05,-8.52967e-06,2.10047e-05,0.167018,-0.985811,-0.00787838,0.0147867,178.827,358.48,199.247,0,0,0,0,
