Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.31766,0.297677,0.19442,-9.48001,0.000452938,0.000172934,0.000381131,-2.28933e-05,-8.40231e-06,2.04287e-05,0.168774,-0.985472,-0.00780631,0.017311,178.783,358.196,199.456,0,0,0,0,
2.34424,0.302478,0.198995,-9.49881,-8.79187e-05,-0.000354592,-0.000156306,-2.33136e-05,-8.7128e-06,2.0054e-05,0.168951,-0.985442,-0.00780747,0.017296,178.783,358.198,199.476,0,0,0,0,
2.37543,0.290475,0.201282,-9.49411,0.000437574,0.000683984,0.00085637,-2.34825e-05,-8.88176e-06,2.00692e-05,0.169315,-0.985379,-0.0077954,0.0173126,178.783,358.196,199.519,0,0,0,0,
2.40338,0.295276,0.208144,-9.48471,0.000429254,0.00118322,-0.000222985,-2.36756e-05,-8.75239e-06,2.0321e-05,0.169449,-0.985356,-0.00780852,0.0173223,178.781,358.195,199.534,0,0,0,0,
2.43429,0.300078,0.210431,-9.50585,-9.56003e-05,-0.000432815,0.000818517,-2.38432e-05,-8.64015e-06,2.05395e-05,0.169468,-0.985352,-0.0078131,0.0173304,178.781,358.195,199.537,0,0,0,0,
2.46223,0.297677,0.196707,-9.44477,-7.85347e-05,0.000107083,-0.000765815,-2.36382e-05,-8.59003e-06,2.08753e-05,0.169471,-0.985352,-0.00781563,0.0173498,178.78,358.192,199.537,0,0,0,0,
2.49005,0.285674,0.217293,-9.46121,0.000457009,0.000101985,0.000271689,-2.37891e-05,-8.57125e-06,2.00947e-05,0.16941,-0.985362,-0.00783333,0.0173353,178.778,358.194,199.53,0,0,0,0,
2.52453,0.304879,0.205857,-9.48001,-0.000552161,0.00108392,0.000289451,-2.40009e-05,-8.81304e-06,2.04192e-05,0.16938,-0.985367,-0.00786142,0.0173544,178.775,358.193,199.526,0,0,0,0,
2.55589,0.300078,0.217293,-9.48471,-0.00103249,-6.42054e-06,0.00128228,-2.47431e-05,-8.69469e-06,1.95679e-05,0.16917,-0.985403,-0.00788611,0.0173547,178.772,358.193,199.502,0,0,0,0,
2.58523,0.295276,0.208144,-9.49881,1.77119e-05,-0.000512892,0.000726968,-2.47565e-05,-8.90394e-06,1.97446e-05,0.169076,-0.985419,-0.00790016,0.0173308,178.771,358.196,199.491,0,0,0,0,
2.61644,0.300078,0.203569,-9.49411,0.000548568,0.000537457,0.00121969,-2.44758e-05,-8.79612e-06,2.01705e-05,0.168867,-0.985455,-0.00791891,0.0173123,178.77,358.198,199.467,0,0,0,0,
2.64445,0.304879,0.21958,-9.48001,0.00101671,0.000486841,-0.000903033,-2.35192e-05,-8.41827e-06,2.01584e-05,0.168789,-0.985468,-0.00792038,0.0173315,178.77,358.196,199.458,0,0,0,0,
2.67563,0.295276,0.208144,-9.48471,-0.0006129,-1.76542e-05,0.00068102,-2.30404e-05,-8.09591e-06,2.04753e-05,0.168537,-0.985512,-0.00792739,0.0173038,178.77,358.199,199.428,0,0,0,0,
2.70349,0.288075,0.19442,-9.48001,-8.94535e-05,-0.0010554,-0.000389986,-2.31337e-05,-8.24543e-06,2.03394e-05,0.168426,-0.985531,-0.00792095,0.0172776,178.771,358.201,199.416,0,0,0,0,
2.73437,0.300078,0.19442,-9.52465,0.000905992,0.000527497,0.000132099,-2.321e-05,-8.28041e-06,2.03598e-05,0.168249,-0.985562,-0.00789863,0.0172706,178.774,358.202,199.395,0,0,0,0,
2.76226,0.302478,0.215006,-9.47531,0.000368591,0.00103419,0.000125811,-2.29798e-05,-8.61931e-06,2.05163e-05,0.168412,-0.985534,-0.00790859,0.0172827,178.773,358.201,199.414,0,0,0,0,
2.79343,0.292876,0.198995,-9.50115,0.000886297,0.000491371,0.00115551,-2.27864e-05,-8.91585e-06,2.03168e-05,0.169068,-0.985421,-0.00788901,0.0172718,178.774,358.202,199.49,0,0,0,0,
2.8214,0.316882,0.224155,-9.46121,-0.00120804,0.000999779,7.44313e-05,-2.21581e-05,-7.96008e-06,2.05099e-05,0.169099,-0.985415,-0.00792825,0.0173324,178.768,358.196,199.494,0,0,0,0,
2.84856,0.314481,0.203569,-9.48706,0.00140839,0.000495452,0.000565153,-2.2569e-05,-8.15849e-06,2.03616e-05,0.169044,-0.985424,-0.00793006,0.0173402,178.768,358.195,199.487,0,0,0,0,
2.88002,0.297677,0.189846,-9.48941,-0.000199407,-9.04873e-06,0.00050085,-2.30197e-05,-8.42576e-06,2.03179e-05,0.169121,-0.985411,-0.00791935,0.0173268,178.769,358.197,199.496,0,0,0,0,
2.90827,0.290475,0.201282,-9.48941,-0.00124101,3.89479e-06,-0.000549067,-2.28614e-05,-8.45252e-06,1.99971e-05,0.169235,-0.985392,-0.00791324,0.0172957,178.77,358.2,199.51,0,0,0,0,
